Summary
Name,".rslt"
Start time,2023 Dec 01 - 13:35
End time,2023 Dec 06 - 9:45
Operator,""
Results file path,""
General Experiment Info
Bath temperature,20°C
,Sample - 25336:7
Total mass,6g
Name,""
,Component - OPC
Mass,4g
Name,"OPC"
ID,"CEM I "

"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-4339.905894041061,21.860831247335852,19.9996678920716,NaN,NaN,NaN,NaN,""
-4339.7056040763855,21.86091469295213,19.999668129090537,-3.1802135843542264E-06,NaN,-7.950533960885566E-07,NaN,""
-4313.4399790763855,21.87185758401827,19.999699211279548,-3.1482124455789728E-06,NaN,-7.870531113947432E-07,NaN,""
-4297.0181040763855,21.878699332091145,19.999718644581545,-3.044271517955626E-06,NaN,-7.610678794889065E-07,NaN,""
-4289.8306040763855,21.881693817451303,19.999727150118098,-3.3998540605531676E-06,NaN,-8.499635151382919E-07,NaN,""
-4277.1138072013855,21.889221921953876,19.99974219890845,-3.504670656974581E-06,NaN,-8.761676642436452E-07,NaN,""
-4264.3970103263855,21.89841364101394,19.999757247698803,-3.6094872533959944E-06,NaN,-9.023718133489986E-07,NaN,""
-4252.7056040763855,21.906864206256376,19.999771083063425,-4.143480255385938E-06,NaN,-1.0358700638464845E-06,NaN,""
-4220.619056224823,21.930056409163903,19.99980799887042,-4.19456065774358E-06,NaN,-1.048640164435895E-06,NaN,""
-4188.5325083732605,21.925681498162362,19.99983700496702,-4.245641060101222E-06,NaN,-1.0614102650253055E-06,NaN,""
-4133.7485728263855,21.906269341187176,19.999886529401184,-4.182352981691505E-06,NaN,-1.0455882454228763E-06,NaN,""
-4117.8306040763855,21.90062896312714,19.999900919174163,-4.4566002749633456E-06,NaN,-1.1141500687408364E-06,NaN,""
-4093.2031626701355,21.89190246778315,19.99979608017126,-4.086688108685268E-06,NaN,-1.021672027171317E-06,NaN,""
-4068.5757212638855,21.88317597243916,19.999633311439098,-3.7167759424071907E-06,NaN,-9.291939856017977E-07,NaN,""
-4045.7871470451355,21.88287306442985,19.99948269622609,-3.675140766241345E-06,NaN,-9.187851915603363E-07,NaN,""
-4036.4137065410614,21.89283116498008,19.99942074488483,-3.65801530490616E-06,NaN,-9.1450382622654E-07,NaN,""
-4022.9985728263855,21.9070830557738,19.999873236682358,-3.6335055900754996E-06,NaN,-9.083763975188749E-07,NaN,""
-4013.6558940410614,21.91700847587033,20.000188364776285,-3.3755221463796357E-06,NaN,-8.438805365949089E-07,NaN,""
-4004.4781596660614,21.92675866329509,20.000169975077036,-3.125983103959717E-06,NaN,-7.814957759899293E-07,NaN,""
-3984.4106822013855,21.94807783188594,20.00012976527578,-3.0450824678409287E-06,NaN,-7.612706169602322E-07,NaN,""
-3954.1431040763855,21.980233323378062,20.000069117229554,-1.7516615465187236E-06,NaN,-4.379153866296809E-07,NaN,""
-3927.9326548576355,22.0080786261432,20.000016598573147,-2.115776382968909E-06,NaN,-5.289440957422272E-07,NaN,""
-3906.4753794670105,21.998803581066323,19.999973603992462,-1.7450402104123765E-06,NaN,-4.362600526030941E-07,NaN,""
-3885.0181040763855,21.982360901442377,19.999925004398627,-1.3743040378558443E-06,NaN,-3.4357600946396106E-07,NaN,""
-3829.2895884513855,21.93965621915359,19.999767113650698,-1.741435772537286E-06,NaN,-4.353589431343215E-07,NaN,""
-3810.9839243888855,21.935014806294774,19.999752075729624,-1.8359656561607683E-06,NaN,-4.589914140401921E-07,NaN,""
-3792.6782603263855,21.938522703997222,20.000085834530235,-1.930495539784251E-06,NaN,-4.826238849460627E-07,NaN,""
-3772.3482768535614,21.942418520181313,20.000456501820814,-1.8463714933665519E-06,NaN,-4.6159287334163797E-07,NaN,""
-3731.8297221660614,21.95018305384749,19.99973281707518,-1.6787085545419478E-06,NaN,-4.1967713863548695E-07,NaN,""
-3727.1012065410614,21.95108917498247,19.999754043051208,-1.6591422883688322E-06,NaN,-4.1478557209220806E-07,NaN,""
-3698.9058940410614,22.031089224760823,19.99988060983763,-1.5424720618198464E-06,NaN,-3.856180154549616E-07,NaN,""
-3698.6296763420105,22.030520601718216,19.999881849759568,-1.5413290923448634E-06,NaN,-3.8533227308621584E-07,NaN,""
-3665.7852885723114,21.962906991980855,20.000029285919815,-9.330754923476948E-07,NaN,-2.332688730869237E-07,NaN,""
-3643.079111814499,21.92436696416182,19.999889650881403,-6.376703603017614E-07,NaN,-1.5941759007544035E-07,NaN,""
-3616.1666362285614,21.919415168619114,19.999724148577677,-4.7134695385331233E-07,NaN,-1.1783673846332808E-07,NaN,""
-3582.063486814499,21.91314031580145,19.999861968328457,-2.7281425183174817E-07,NaN,-6.820356295793704E-08,NaN,""
-3537.0077006816864,21.993739544701956,20.000044050550265,-1.8131230945568995E-07,NaN,-4.5328077363922487E-08,NaN,""
-3523.9657084941864,21.98748050837372,20.00009675665348,-1.548258640945571E-07,NaN,-3.870646602363927E-08,NaN,""
-3511.3631694316864,21.935078268007423,20.000089063684236,-1.2923188600504605E-07,NaN,-3.230797150126151E-08,NaN,""
-3498.7606303691864,21.912889911797993,20.000026051946726,-1.0363790791553504E-07,NaN,-2.590947697888376E-08,NaN,""
-3489.5806040763855,21.912746634691747,19.999980152512947,-8.499457020129564E-08,NaN,-2.124864255032391E-08,NaN,""
-3479.0102915763855,21.912581658716864,19.9999273017538,3.994328672971339E-07,NaN,9.985821682428348E-08,NaN,""
-3464.5630259513855,21.912356173261173,19.99985506652368,1.7851815965889206E-07,NaN,4.4629539914723015E-08,NaN,""
-3448.8345103263855,21.91211069071761,19.999776425140936,8.496483830208934E-07,NaN,2.1241209575522335E-07,NaN,""
-3433.2603862285614,21.911867617837224,19.999698555704093,7.072206816558668E-07,NaN,1.768051704139667E-07,NaN,""
-3420.9928081035614,21.9116761518176,19.999748995336947,6.814667096663478E-07,NaN,1.7036667741658695E-07,NaN,""
-3406.4713237285614,21.911417129181046,19.999808702178253,9.282648816401985E-07,NaN,2.3206622041004961E-07,NaN,""
-3391.9498393535614,21.90872376515904,19.999868409019562,1.0924535370646227E-06,NaN,2.731133842661557E-07,NaN,""
-3377.9556040763855,21.906128192362367,19.99992594801236,9.806641325193285E-07,NaN,2.451660331298321E-07,NaN,""
