General Experiment Info
Bath temperature,20°C
,Sample - 213:2
Total mass,5.88g
Name,"Max"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"42.5R CEM I"
Wizard Settings
Devices

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-7515.69400477409,20,NaN,NaN,NaN,NaN,""
-7515.38685464859,20,-3.13430939321575E-06,NaN,-7.83577348303937E-07,NaN,""
-7507.83997964859,20,-3.32810956750652E-06,NaN,-8.32027391876629E-07,NaN,""
-7488.80091714859,20,-2.44279499020982E-06,NaN,-6.10698747552455E-07,NaN,""
-7450.40052652359,20,-2.63208482402247E-06,NaN,-6.58021206005618E-07,NaN,""
-7429.26185464859,20,-1.87001580509486E-06,NaN,-4.67503951273714E-07,NaN,""
-7419.88685464859,20,-1.12484375180657E-06,NaN,-2.81210937951643E-07,NaN,""
-7388.34095621109,20,-7.32920932593075E-07,NaN,-1.83230233148269E-07,NaN,""
-7353.81458902359,20,-1.09995641699801E-06,NaN,-2.74989104249502E-07,NaN,""
-7318.54310464859,20,-5.65763589496591E-07,NaN,-1.41440897374148E-07,NaN,""
-7301.38685464859,20,-1.44297690142806E-06,NaN,-3.60744225357014E-07,NaN,""
-7263.51087808609,20,-1.16900778639271E-06,NaN,-2.92251946598177E-07,NaN,""
-7225.21107339859,20,-3.09075762521046E-06,NaN,-7.72689406302614E-07,NaN,""
-7185.07630777359,20,-2.77934085376776E-06,NaN,-6.9483521344194E-07,NaN,""
-7137.57630777359,20,-7.47373460752456E-07,NaN,-1.86843365188114E-07,NaN,""
-7108.05091714859,20,-4.78852985292434E-07,NaN,-1.19713246323109E-07,NaN,""
-7094.87122964859,20,-1.20773178093507E-06,NaN,-3.01932945233767E-07,NaN,""
-7083.99622964859,20,-9.00561091453161E-07,NaN,-2.2514027286329E-07,NaN,""
-7066.75404214859,20,-1.10501191822208E-06,NaN,-2.7625297955552E-07,NaN,""
-7041.06849527359,20,1.03380421864922E-09,NaN,2.58451054662304E-10,NaN,""
-7011.42591714859,20,8.47424348248184E-07,NaN,2.11856087062046E-07,NaN,""
-6982.43470621109,20,2.9800347089175E-07,NaN,7.45008677229375E-08,NaN,""
-6942.36146402359,20,-1.76039937860945E-07,NaN,-4.40099844652363E-08,NaN,""
-6912.34388589859,20,3.55011951330279E-07,NaN,8.87529878325697E-08,NaN,""
-6891.41419839859,20,-1.257525607772E-06,NaN,-3.14381401943E-07,NaN,""
-6863.80872964859,20,-2.77485374343817E-07,NaN,-6.93713435859543E-08,NaN,""
-6822.79310464859,20,5.46641212843644E-07,NaN,1.36660303210911E-07,NaN,""
-6804.23060464859,20,2.42512900278693E-07,NaN,6.06282250696732E-08,NaN,""
-6781.76148843765,20,7.18260660609268E-07,NaN,1.79565165152317E-07,NaN,""
-6735.84779214859,20,3.58725870822829E-07,NaN,8.96814677057073E-08,NaN,""
-6703.63685464859,20,-6.64995429048937E-07,NaN,-1.66248857262234E-07,NaN,""
-6552.88915109634,20,-2.02538143154703E-06,NaN,-5.06345357886758E-07,NaN,""
-6506.16029214859,20,-1.67375637234969E-06,NaN,-4.18439093087423E-07,NaN,""
-6486.05091714859,20,-8.63226099901174E-07,NaN,-2.15806524975294E-07,NaN,""
-6477.07435464859,20,-1.12358503919564E-06,NaN,-2.8089625979891E-07,NaN,""
-6465.30091714859,20,-6.46252113918085E-07,NaN,-1.61563028479521E-07,NaN,""
-6441.50404214859,20,-9.26266027501526E-07,NaN,-2.31566506875382E-07,NaN,""
-6412.75013589859,20,4.25296845742517E-07,NaN,1.06324211435629E-07,NaN,""
-6375.24671792984,20,7.83726773966164E-07,NaN,1.95931693491541E-07,NaN,""
-6343.36341714859,20,1.08954567435024E-06,NaN,2.72386418587561E-07,NaN,""
-6335.32435464859,20,1.75027560891488E-06,NaN,4.3756890222872E-07,NaN,""
-6307.46107339859,20,1.53312326773487E-06,NaN,3.83280816933719E-07,NaN,""
-6280.24622964859,20,2.05061148733985E-06,NaN,5.12652871834962E-07,NaN,""
-6240.04017496109,20,1.22451041907184E-06,NaN,3.0612760476796E-07,NaN,""
-6215.84779214859,20,1.59171595657184E-06,NaN,3.97928989142959E-07,NaN,""
-6196.90247964859,20,9.92737511487817E-07,NaN,2.48184377871954E-07,NaN,""
-6161.77162027359,20,2.00760327133734E-06,NaN,5.01900817834335E-07,NaN,""
-6126.56361246109,20,4.56988972730575E-07,NaN,1.14247243182644E-07,NaN,""
-6094.49622964859,20,8.11104083711262E-07,NaN,2.02776020927815E-07,NaN,""
-6075.07044839859,20,-1.41942298597004E-07,NaN,-3.54855746492511E-08,NaN,""
-6036.58802652359,20,2.24231997810205E-06,NaN,5.60579994525513E-07,NaN,""
-5999.41029214859,20,2.71907241163429E-06,NaN,6.79768102908573E-07,NaN,""
-5975.91029214859,20,1.60257741225689E-06,NaN,4.00644353064223E-07,NaN,""
-5932.38929605484,20,1.51592093175566E-06,NaN,3.78980232938915E-07,NaN,""
-5886.05482339859,20,2.79541580898098E-06,NaN,6.98853952245245E-07,NaN,""
-5844.40370035172,20,2.40545698655629E-06,NaN,6.01364246639073E-07,NaN,""
-5787.08216714859,20,1.93966358917129E-06,NaN,4.84915897292823E-07,NaN,""
-5771.73060464859,20,1.02949339638543E-06,NaN,2.57373349096359E-07,NaN,""
-5748.39466714859,20,1.16235522628893E-06,NaN,2.90588806572233E-07,NaN,""
-5724.73451089859,20,4.97839186061566E-07,NaN,1.24459796515392E-07,NaN,""
-5715.38685464859,20,6.6434659095877E-07,NaN,1.66086647739692E-07,NaN,""
0,20,NaN,NaN,NaN,NaN,"Reaction start"
0.028141975402832,20,NaN,NaN,NaN,NaN,"Measuring position"
1.08803939819336,20,NaN,NaN,NaN,NaN,"Signal correct"
1.61314535140991,20,0.104827550457318,0.05398114825865,0.0262068876143295,0.0134952870646625,""
4.73814535140991,20,0.12929537722966,0.419798222769554,0.0323238443074151,0.104949555692388,""
6.61314535140991,20,0.143970640456846,0.675985114350654,0.0359926601142116,0.168996278587663,""
7.61314535140991,20,0.151569362458815,0.823755115808484,0.0378923406147036,0.205938778952121,""
9.36314535140991,20,0.164641814047758,1.10043989525173,0.0411604535119395,0.275109973812934,""
11.6131453514099,20,0.181449251804971,1.48979234433606,0.0453623129512428,0.372448086084014,""
12.6131453514099,20,0.188811701863003,1.67492282117004,0.0472029254657507,0.418730705292511,""
13.6131453514099,20,0.195714350444333,1.86718584732371,0.0489285876110832,0.466796461830928,""
15.8631453514099,20,0.211127622265818,2.32488306662263,0.0527819055664545,0.581220766655658,""
17.6131453514099,20,0.223115722571418,2.70484599335521,0.0557789306428544,0.676211498338803,""
18.6131453514099,20,0.22973578198937,2.93127174563561,0.0574339454973425,0.732817936408901,""
19.6131453514099,20,0.235798290780019,3.1640387820203,0.0589495726950048,0.791009695505075,""
21.3631453514099,20,0.2463642363855,3.58593099329013,0.0615910590963749,0.896482748322532,""
23.6131453514099,20,0.259949023592546,4.15553341076543,0.0649872558981365,1.03888335269136,""
24.6131453514099,20,0.265656834715461,4.41833633991943,0.0664142086788652,1.10458408497986,""
26.7381453514099,20,0.276639762034394,4.99452647396616,0.0691599405085986,1.24863161849154,""
29.6131453514099,20,0.291484916001133,5.81120569864223,0.0728712290002833,1.45280142466056,""
