Time	Channel 2	Time markers	sample_weight
Seconds	mW		
			
0	-0,0819		6.0756
10	-0,0869		
20	-0,0848		
30	-0,0869		
40	-0,0902		
50	-0,0804		
60	-0,0886		
70	-0,0869		
80	-0,0819		
90	-0,0848		
100	-0,0869		
110	-0,0902		
120	-0,0886		
130	-0,0819		
140	-0,0869		
150	-0,0852		
160	-0,0852		
170	-0,0848		
180	-0,0886		
190	-0,0902		
200	-0,0852		
210	-0,0902		
220	-0,0863		
230	-0,0886		
240	-0,0836		
250	-0,0869		
260	-0,0863		
270	-0,0852		
280	-0,0852		
290	-0,0848		
300	-0,0819		
310	-0,0819		
320	-0,0869		
330	-0,0833		
340	-0,0769		
350	-0,0819		
360	-0,0852		
370	-0,0802		
380	-0,0804		
390	-0,0785		
400	-0,0836		
410	-0,0819		
420	-0,0848		
430	-0,0836		
440	-0,0802		
450	-0,0836		
460	-0,0892		
470	-0,0785		
480	-0,0769		
490	-0,0852		
500	-0,0802		
510	-0,0848		
520	-0,0785		
530	-0,0836		
540	-0,0877		
550	-0,0886		
560	-0,0785		
570	-0,0769		
580	-0,0863		
590	-0,0852		
600	-0,0819		
610	-0,0852		
620	-0,0804		
630	-0,0819		
640	-0,0852		
650	-0,0802		
660	-0,0833		
670	-0,0785		
680	-0,0836		
690	-0,0852		
700	-0,0819		
710	-0,0819		
720	-0,0785		
730	-0,0802		
740	-0,0746		
750	-0,0819		
760	-0,0769		
770	-0,0819		
780	-0,0819		
790	-0,0819		
800	-0,0819		
810	-0,0785		
820	-0,0769		
830	-0,0804		
840	-0,0802		
850	-0,0852		
860	-0,0833		
870	-0,0902		
880	-0,0819		
890	-0,0852		
900	-0,0833		
910	-0,0819		
920	-0,0819		
930	-0,0769		
940	-0,0848		
950	-0,0836		
960	-0,0819		
970	-0,0785		
980	-0,0863		
990	-0,0819		
1000	-0,0802		
1010	-0,0802		
1020	-0,0852		
1030	-0,0802		
1040	-0,0833		
1050	-0,0785		
1060	-0,0819		
1070	-0,0848		
1080	-0,0852		
1090	-0,0802		
1100	-0,0804		
1110	-0,0802		
1120	-0,0819		
1130	-0,0869		
1140	-0,0836		
1150	-0,0863		
1160	-0,0869		
1170	-0,0869		
1180	-0,0833		
1190	-0,0785		
1200	-0,0819		
1210	-0,0819		
1220	-0,0819		
1230	-0,0836		
1240	-0,0802		
1250	-0,0819		
1260	-0,0802		
1270	-0,0833		
1280	-0,0852		
1290	-0,0886		
1300	-0,0752		
1310	-0,0819		
1320	-0,0802		
1330	-0,0802		
1340	-0,0836		
1350	-0,0819		
1360	-0,0802		
1370	-0,0852		
1380	-0,0819		
1390	-0,0819		
1400	-0,0869		
1410	-0,0785		
1420	-0,0852		
1430	-0,0802		
1440	-0,0804		
1450	-0,0819		
1460	-0,0802		
1470	-0,0819		
1480	-0,0819		
1490	-0,0819		
1500	-0,0785		
1510	-0,0819		
1520	-0,0785		
1530	-0,0852		
1540	-0,0869		
1550	-0,0836		
1560	-0,0804		
1570	-0,0869		
1580	-0,0869		
1590	-0,0863		
1600	-0,0886		
1610	-0,0836		
1620	-0,0802		
1630	-0,0819		
1640	-0,0802		
1650	-0,0802		
1660	-0,0802		
1670	-0,0819		
1680	-0,0836		
1690	-0,0802		
1700	-0,0802		
1710	-0,0819		
1720	-0,0869		
1730	-0,0785		
1740	-0,0819		
1750	-0,0836		
1760	-0,0775		
1770	-0,0769		
1780	-0,0785		
1790	-0,0790		
1800	-0,0769		
1810	-0,0819		
1820	-0,0802		
1830	-0,0804		
1840	-0,0785		
1850	-0,0785		
1860	-0,0802		
1870	-0,0785		
1880	-0,0746		
1890	-0,0785		
1900	-0,0802		
1910	-0,0819		
1920	-0,0790		
1930	-0,0769		
1940	-0,0802		
1950	-0,0802		
1960	-0,0760		
1970	-0,0869		
1980	-0,0735		
1990	-0,0802		
2000	-0,0769		
2010	-0,0804		
2020	-0,0735		
2030	-0,0785		
2040	-0,0804		
2050	-0,0769		
2060	-0,0802		
2070	-0,0785		
2080	-0,0746		
2090	-0,0785		
2100	-0,0819		
2110	-0,0702		
2120	-0,0819		
2130	-0,0769		
2140	-0,0735		
2150	-0,0752		
2160	-0,0790		
2170	-0,0719		
2180	-0,0702		
2190	-0,0785		
2200	-0,0735		
2210	-0,0775		
2220	-0,0802		
2230	-0,0802		
2240	-0,0775		
2250	-0,0752		
2260	-0,0785		
2270	-0,0785		
2280	-0,0702		
2290	-0,0719		
2300	-0,0769		
2310	-0,0735		
2320	-0,0769		
2330	-0,0746		
2340	-0,0752		
2350	-0,0719		
2360	-0,0802		
2370	-0,0731		
2380	-0,0785		
2390	-0,0735		
2400	-0,0717		
2410	-0,0735		
2420	-0,0735		
2430	-0,0819		
2440	-0,0769		
2450	-0,0746		
2460	-0,0735		
2470	-0,0769		
2480	-0,0790		
2490	-0,0685		
2500	-0,0769		
2510	-0,0702		
2520	-0,0702		
2530	-0,0752		
2540	-0,0719		
2550	-0,0719		
2560	-0,0760		
2570	-0,0735		
2580	-0,0635		
2590	-0,0735		
2600	-0,0760		
2610	-0,0785		
2620	-0,0719		
2630	-0,0702		
2640	-0,0746		
2650	-0,0702		
2660	-0,0702		
2670	-0,0719		
2680	-0,0769		
2690	-0,0702		
2700	-0,0702		
2710	-0,0785		
2720	-0,0652		
2730	-0,0769		
2740	-0,0687		
2750	-0,0685		
2760	-0,0752		
2770	-0,0685		
2780	-0,0717		
2790	-0,0719		
2800	-0,0752		
2810	-0,0635		
2820	-0,0702		
2830	-0,0668		
2840	-0,0785		
2850	-0,0702		
2860	-0,0719		
2870	-0,0760		
2880	-0,0685		
2890	-0,0735		
2900	-0,0668		
2910	-0,0702		
2920	-0,0702		
2930	-0,0685		
2940	-0,0702		
2950	-0,0687		
2960	-0,0785		
2970	-0,0668		
2980	-0,0685		
2990	-0,0719		
3000	-0,0687		
3010	-0,0719		
3020	-0,0702		
3030	-0,0635		
3040	-0,0804		
3050	-0,0668		
3060	-0,0719		
3070	-0,0735		
3080	-0,0746		
3090	-0,0685		
3100	-0,0735		
3110	-0,0702		
3120	-0,0702		
3130	-0,0685		
3140	-0,0685		
3150	-0,0731		
3160	-0,0652		
3170	-0,0652		
3180	-0,0702		
3190	-0,0760		
3200	-0,0668		
3210	-0,0685		
3220	-0,0735		
3230	-0,0746		
3240	-0,0702		
3250	-0,0735		
3260	-0,0719		
3270	-0,0668		
3280	-0,0717		
3290	-0,0735		
3300	-0,0702		
3310	-0,0668		
3320	-0,0600		
3330	-0,0719		
3340	-0,0652		
3350	-0,0719		
3360	-0,0643		
3370	-0,0668		
3380	-0,0602		
3390	-0,0618		
3400	-0,0629		
3410	-0,0685		
3420	-0,0685		
3430	-0,0685		
3440	-0,0673		
3450	-0,0685		
3460	-0,0668		
3470	-0,0652		
3480	-0,0635		
3490	-0,0702		
3500	-0,0602		
3510	-0,0602		
3520	-0,0618		
3530	-0,0652		
3540	-0,0658		
3550	-0,0702		
3560	-0,0618		
3570	-0,0769		
3580	-0,0702		
3590	-0,0673		
3600	-0,0685		
3610	-0,0719		
3620	-0,0702		
3630	-0,0673		
3640	-0,0635		
3650	-0,0702		
3660	-0,0702		
3670	-0,0629		
3680	-0,0652		
3690	-0,0618		
3700	-0,0702		
3710	-0,0658		
3720	-0,0635		
3730	-0,0618		
3740	-0,0652		
3750	-0,0629		
3760	-0,0719		
3770	-0,0635		
3780	-0,0635		
3790	-0,0629		
3800	-0,0635		
3810	-0,0668		
3820	-0,0668		
3830	-0,0673		
3840	-0,0702		
3850	-0,0702		
3860	-0,0635		
3870	-0,0629		
3880	-0,0635		
3890	-0,0735		
3900	-0,0685		
3910	-0,0643		
3920	-0,0618		
3930	-0,0652		
3940	-0,0668		
3950	-0,0673		
3960	-0,0635		
3970	-0,0668		
3980	-0,0668		
3990	-0,0614		
4000	-0,0719		
4010	-0,0618		
4020	-0,0635		
4030	-0,0652		
4040	-0,0658		
4050	-0,0635		
4060	-0,0668		
4070	-0,0602		
4080	-0,0658		
4090	-0,0618		
4100	-0,0668		
4110	-0,0668		
4120	-0,0658		
4130	-0,0585		
4140	-0,0668		
4150	-0,0568		
4160	-0,0614		
4170	-0,0585		
4180	-0,0652		
4190	-0,0602		
4200	-0,0643		
4210	-0,0702		
4220	-0,0668		
4230	-0,0618		
4240	-0,0568		
4250	-0,0585		
4260	-0,0602		
4270	-0,0618		
4280	-0,0652		
4290	-0,0643		
4300	-0,0585		
4310	-0,0535		
4320	-0,0635		
4330	-0,0685		
4340	-0,0585		
4350	-0,0652		
4360	-0,0652		
4370	-0,0687		
4380	-0,0618		
4390	-0,0668		
4400	-0,0635		
4410	-0,0614		
4420	-0,0551		
4430	-0,0635		
4440	-0,0568		
4450	-0,0635		
4460	-0,0614		
4470	-0,0551		
4480	-0,0585		
4490	-0,0643		
4500	-0,0652		
4510	-0,0551		
4520	-0,0602		
4530	-0,0541		
4540	-0,0635		
4550	-0,0618		
4560	-0,0585		
4570	-0,0614		
4580	-0,0618		
4590	-0,0568		
4600	-0,0602		
4610	-0,0551		
4620	-0,0541		
4630	-0,0585		
4640	-0,0518		
4650	-0,0568		
4660	-0,0570		
