Time	Channel 3	Time markers	sample_weight
Seconds	mW		
			
0	-0,0928		6.4658
10	-0,0978		
20	-0,0928		
30	-0,0978		
40	-0,0961		
50	-0,0986		
60	-0,0995		
70	-0,0961		
80	-0,0928		
90	-0,0972		
100	-0,0928		
110	-0,0945		
120	-0,0961		
130	-0,0885		
140	-0,1028		
150	-0,0912		
160	-0,0961		
170	-0,1030		
180	-0,0928		
190	-0,0995		
200	-0,0978		
210	-0,0961		
220	-0,0972		
230	-0,0912		
240	-0,0978		
250	-0,0945		
260	-0,0885		
270	-0,0961		
280	-0,0895		
290	-0,0972		
300	-0,0879		
310	-0,0895		
320	-0,0928		
330	-0,0943		
340	-0,0879		
350	-0,0879		
360	-0,0928		
370	-0,0978		
380	-0,0972		
390	-0,0862		
400	-0,0862		
410	-0,0879		
420	-0,0928		
430	-0,0912		
440	-0,0879		
450	-0,0995		
460	-0,0914		
470	-0,0879		
480	-0,0945		
490	-0,0945		
500	-0,0945		
510	-0,0972		
520	-0,0928		
530	-0,0945		
540	-0,0943		
550	-0,0945		
560	-0,0978		
570	-0,0862		
580	-0,0899		
590	-0,0912		
600	-0,0928		
610	-0,0978		
620	-0,0943		
630	-0,0978		
640	-0,0912		
650	-0,0945		
660	-0,0943		
670	-0,0879		
680	-0,0928		
690	-0,0895		
700	-0,0914		
710	-0,0961		
720	-0,0879		
730	-0,0895		
740	-0,0957		
750	-0,0961		
760	-0,0845		
770	-0,0928		
780	-0,0945		
790	-0,0870		
800	-0,0895		
810	-0,0928		
820	-0,0895		
830	-0,0885		
840	-0,0912		
850	-0,0928		
860	-0,0885		
870	-0,0945		
880	-0,0912		
890	-0,0995		
900	-0,0885		
910	-0,0912		
920	-0,0928		
930	-0,0912		
940	-0,0972		
950	-0,0912		
960	-0,0912		
970	-0,0879		
980	-0,0870		
990	-0,0995		
1000	-0,0928		
1010	-0,0879		
1020	-0,0895		
1030	-0,0879		
1040	-0,0928		
1050	-0,0895		
1060	-0,0945		
1070	-0,0986		
1080	-0,0978		
1090	-0,0928		
1100	-0,0899		
1110	-0,0945		
1120	-0,0912		
1130	-0,0895		
1140	-0,0928		
1150	-0,0943		
1160	-0,0928		
1170	-0,0995		
1180	-0,0943		
1190	-0,0879		
1200	-0,0995		
1210	-0,0961		
1220	-0,0885		
1230	-0,0879		
1240	-0,0961		
1250	-0,0912		
1260	-0,0978		
1270	-0,0914		
1280	-0,0895		
1290	-0,0945		
1300	-0,0879		
1310	-0,0885		
1320	-0,0912		
1330	-0,0912		
1340	-0,0978		
1350	-0,0899		
1360	-0,0879		
1370	-0,0879		
1380	-0,0862		
1390	-0,0928		
1400	-0,0961		
1410	-0,0945		
1420	-0,0895		
1430	-0,0945		
1440	-0,0914		
1450	-0,0895		
1460	-0,0928		
1470	-0,0912		
1480	-0,0957		
1490	-0,0895		
1500	-0,0928		
1510	-0,0943		
1520	-0,0862		
1530	-0,0895		
1540	-0,0928		
1550	-0,0961		
1560	-0,0899		
1570	-0,0862		
1580	-0,0895		
1590	-0,0943		
1600	-0,0928		
1610	-0,0978		
1620	-0,0912		
1630	-0,0957		
1640	-0,0879		
1650	-0,0895		
1660	-0,0912		
1670	-0,0914		
1680	-0,0895		
1690	-0,0928		
1700	-0,0945		
1710	-0,0928		
1720	-0,0912		
1730	-0,0879		
1740	-0,0879		
1750	-0,0895		
1760	-0,0899		
1770	-0,0945		
1780	-0,0895		
1790	-0,0914		
1800	-0,0912		
1810	-0,0895		
1820	-0,0879		
1830	-0,0899		
1840	-0,0862		
1850	-0,0912		
1860	-0,0879		
1870	-0,0845		
1880	-0,0914		
1890	-0,0895		
1900	-0,0895		
1910	-0,0928		
1920	-0,0914		
1930	-0,0928		
1940	-0,0879		
1950	-0,0912		
1960	-0,0870		
1970	-0,0912		
1980	-0,0879		
1990	-0,0879		
2000	-0,0879		
2010	-0,0856		
2020	-0,0879		
2030	-0,0928		
2040	-0,0899		
2050	-0,0895		
2060	-0,0879		
2070	-0,0895		
2080	-0,0899		
2090	-0,0912		
2100	-0,0928		
2110	-0,0862		
2120	-0,0928		
2130	-0,0895		
2140	-0,0879		
2150	-0,0862		
2160	-0,0841		
2170	-0,0829		
2180	-0,0879		
2190	-0,0912		
2200	-0,0912		
2210	-0,0856		
2220	-0,0879		
2230	-0,0961		
2240	-0,0870		
2250	-0,0845		
2260	-0,0895		
2270	-0,0895		
2280	-0,0856		
2290	-0,0862		
2300	-0,0879		
2310	-0,0895		
2320	-0,0895		
2330	-0,0885		
2340	-0,0879		
2350	-0,0862		
2360	-0,0862		
2370	-0,0856		
2380	-0,0895		
2390	-0,0879		
2400	-0,0885		
2410	-0,0862		
2420	-0,0862		
2430	-0,0895		
2440	-0,0895		
2450	-0,0870		
2460	-0,0862		
2470	-0,0879		
2480	-0,0870		
2490	-0,0862		
2500	-0,0895		
2510	-0,0827		
2520	-0,0845		
2530	-0,0829		
2540	-0,0829		
2550	-0,0862		
2560	-0,0870		
2570	-0,0812		
2580	-0,0845		
2590	-0,0845		
2600	-0,0856		
2610	-0,0879		
2620	-0,0845		
2630	-0,0862		
2640	-0,0943		
2650	-0,0879		
2660	-0,0879		
2670	-0,0829		
2680	-0,0845		
2690	-0,0870		
2700	-0,0879		
2710	-0,0879		
2720	-0,0879		
2730	-0,0912		
2740	-0,0827		
2750	-0,0879		
2760	-0,0912		
2770	-0,0829		
2780	-0,0885		
2790	-0,0912		
2800	-0,0845		
2810	-0,0845		
2820	-0,0841		
2830	-0,0862		
2840	-0,0845		
2850	-0,0829		
2860	-0,0862		
2870	-0,0827		
2880	-0,0829		
2890	-0,0879		
2900	-0,0862		
2910	-0,0827		
2920	-0,0829		
2930	-0,0829		
2940	-0,0829		
2950	-0,0870		
2960	-0,0862		
2970	-0,0829		
2980	-0,0829		
2990	-0,0862		
3000	-0,0827		
3010	-0,0895		
3020	-0,0879		
3030	-0,0845		
3040	-0,0957		
3050	-0,0862		
3060	-0,0862		
3070	-0,0829		
3080	-0,0841		
3090	-0,0829		
3100	-0,0895		
3110	-0,0796		
3120	-0,0841		
3130	-0,0845		
3140	-0,0862		
3150	-0,0899		
3160	-0,0862		
3170	-0,0812		
3180	-0,0845		
3190	-0,0827		
3200	-0,0812		
3210	-0,0862		
3220	-0,0895		
3230	-0,0841		
3240	-0,0845		
3250	-0,0862		
3260	-0,0879		
3270	-0,0862		
3280	-0,0827		
3290	-0,0812		
3300	-0,0845		
3310	-0,0862		
3320	-0,0783		
3330	-0,0862		
3340	-0,0812		
3350	-0,0845		
3360	-0,0798		
3370	-0,0829		
3380	-0,0796		
3390	-0,0812		
3400	-0,0783		
3410	-0,0812		
3420	-0,0862		
3430	-0,0829		
3440	-0,0812		
3450	-0,0796		
3460	-0,0812		
3470	-0,0812		
3480	-0,0829		
3490	-0,0827		
3500	-0,0779		
3510	-0,0829		
3520	-0,0812		
3530	-0,0829		
3540	-0,0841		
3550	-0,0779		
3560	-0,0796		
3570	-0,0845		
3580	-0,0829		
3590	-0,0827		
3600	-0,0812		
3610	-0,0845		
3620	-0,0812		
3630	-0,0827		
3640	-0,0796		
3650	-0,0796		
3660	-0,0812		
3670	-0,0769		
3680	-0,0812		
3690	-0,0829		
3700	-0,0829		
3710	-0,0798		
3720	-0,0812		
3730	-0,0812		
3740	-0,0862		
3750	-0,0870		
3760	-0,0796		
3770	-0,0796		
3780	-0,0812		
3790	-0,0812		
3800	-0,0829		
3810	-0,0829		
3820	-0,0796		
3830	-0,0841		
3840	-0,0829		
3850	-0,0845		
3860	-0,0812		
3870	-0,0798		
3880	-0,0763		
3890	-0,0829		
3900	-0,0812		
3910	-0,0783		
3920	-0,0763		
3930	-0,0829		
3940	-0,0845		
3950	-0,0856		
3960	-0,0812		
3970	-0,0845		
3980	-0,0845		
3990	-0,0812		
4000	-0,0829		
4010	-0,0796		
4020	-0,0746		
4030	-0,0779		
4040	-0,0841		
4050	-0,0796		
4060	-0,0779		
4070	-0,0779		
4080	-0,0798		
4090	-0,0796		
4100	-0,0812		
4110	-0,0779		
4120	-0,0798		
4130	-0,0779		
4140	-0,0829		
4150	-0,0812		
4160	-0,0812		
4170	-0,0779		
4180	-0,0796		
4190	-0,0729		
4200	-0,0798		
4210	-0,0829		
4220	-0,0779		
4230	-0,0779		
4240	-0,0746		
4250	-0,0812		
4260	-0,0746		
4270	-0,0796		
4280	-0,0779		
4290	-0,0769		
4300	-0,0812		
4310	-0,0729		
4320	-0,0812		
4330	-0,0829		
4340	-0,0798		
4350	-0,0779		
4360	-0,0796		
4370	-0,0798		
4380	-0,0779		
4390	-0,0796		
4400	-0,0812		
4410	-0,0798		
4420	-0,0763		
4430	-0,0812		
4440	-0,0746		
4450	-0,0779		
4460	-0,0798		
4470	-0,0746		
4480	-0,0779		
4490	-0,0798		
4500	-0,0796		
4510	-0,0779		
4520	-0,0779		
4530	-0,0754		
4540	-0,0796		
4550	-0,0729		
4560	-0,0729		
4570	-0,0783		
4580	-0,0763		
4590	-0,0779		
4600	-0,0746		
4610	-0,0729		
4620	-0,0769		
4630	-0,0763		
4640	-0,0763		
4650	-0,0746		
4660	-0,0754		
