Time	Channel 2	Time markers	sample_weight
Seconds	mW		
			
0	-0,0592		6.0314
10	-0,0457		
20	-0,0406		
30	-0,0491		
40	-0,0457		
50	-0,0491		
60	-0,0406		
70	-0,0474		
80	-0,0457		
90	-0,0440		
100	-0,0457		
110	-0,0491		
120	-0,0406		
130	-0,0491		
140	-0,0406		
150	-0,0440		
160	-0,0457		
170	-0,0491		
180	-0,0474		
190	-0,0491		
200	-0,0457		
210	-0,0440		
220	-0,0440		
230	-0,0406		
240	-0,0457		
250	-0,0423		
260	-0,0457		
270	-0,0474		
280	-0,0423		
290	-0,0423		
300	-0,0459		
310	-0,0423		
320	-0,0491		
330	-0,0457		
340	-0,0474		
350	-0,0406		
360	-0,0423		
370	-0,0406		
380	-0,0423		
390	-0,0440		
400	-0,0508		
410	-0,0457		
420	-0,0440		
430	-0,0440		
440	-0,0389		
450	-0,0508		
460	-0,0491		
470	-0,0491		
480	-0,0508		
490	-0,0288		
500	-0,0305		
510	-0,0355		
520	-0,0288		
530	-0,0322		
540	-0,0288		
550	-0,0288		
560	-0,0276		
570	-0,0220		
580	-0,0271		
590	-0,0220		
600	-0,0169		
610	-0,0158		
620	-0,0135		
630	-0,0068		
640	-0,0051		
650	0,0051		
660	0,0017		
670	0,0039		
680	0,0135		
690	0,0186		
700	0,0237		
710	0,0305		
720	0,0305	Reaction start	
730	0,0355		
740	0,0454		
750	0,0406		
760	0,0474		
770	0,0525		
780	0,0576		
790	0,0609		
800	0,0694		
810	0,0914		
820	0,1027		
830	0,1219		
840	0,1439		
850	0,1540		
860	0,1540		
870	0,1540		
880	0,1540		
890	0,1557		
900	0,1642		
910	0,1625		
920	0,1659		
930	0,1659		
940	0,1659		
950	0,1659		
960	0,1659		
970	0,1659		
980	0,1659		
990	0,1659		
1000	0,1659		
1010	0,1794		
1020	0,2048		
1030	0,2607		
1040	55,0047		
1050	181,7163		
1060	274,6513		
1070	327,2338		
1080	358,4543		
1090	376,8117		
1100	384,5999		
1110	385,6494		
1120	382,6093		
1130	376,4359		
1140	368,8396		
1150	360,1504		
1160	350,0076		
1170	339,5026		
1180	329,5661		
1190	319,4355		
1200	308,7765		
1210	298,3426		
1220	288,1135		
1230	278,9117		
1240	269,8728		
1250	260,3818		
1260	251,1870		
1270	242,9065		
1280	234,9098		
1290	226,5546		
1300	218,4058		
1310	211,1057		
1320	204,0821		
1330	196,8711		
1340	189,9039		
1350	183,2448		
1360	176,8328		
1370	170,6899		
1380	165,1593		
1390	159,7770		
1400	154,2554		
1410	148,9656		
1420	143,8316		
1430	138,8060		
1440	133,9969		
1450	129,3488		
1460	124,9257		
1470	120,8736		
1480	116,9429		
1490	112,8685		
1500	108,9668		
1510	105,1700		
1520	101,7711		
1530	98,4906		
1540	95,0662		
1550	91,7468		
1560	88,7727		
1570	85,9120		
1580	82,9532		
1590	80,2632		
1600	77,7040		
1610	75,0719		
1620	72,5243		
1630	70,0682		
1640	67,8671		
1650	65,7349		
1660	63,5157		
1670	61,4100		
1680	59,3567		
1690	57,5150		
1700	55,7309		
1710	53,8842		
1720	52,1085		
1730	50,3938		
1740	48,8495		
1750	47,3588		
1760	45,8065		
1770	44,3136		
1780	42,8883		
1790	41,6097		
1800	40,3594		
1810	39,0695		
1820	37,8339		
1830	36,6320		
1840	35,4742		
1850	34,3638		
1860	33,2872		
1870	32,3379		
1880	31,4117		
1890	30,4401		
1900	29,5125		
1910	28,6187		
1920	27,7453		
1930	26,9074		
1940	26,1050		
1950	25,3247		
1960	24,5697		
1970	23,8876		
1980	23,2088		
1990	22,5199		
2000	21,8479		
2010	21,2393		
2020	20,6528		
2030	20,0468		
2040	19,4956		
2050	18,9736		
2060	18,4252		
2070	17,9275		
2080	17,4502		
2090	16,9644		
2100	16,4870		
2110	16,0385		
2120	15,6288		
2130	15,2378		
2140	14,8316		
2150	14,4304		
2160	14,0563		
2170	13,6873		
2180	13,3499		
2190	13,0390		
2200	12,7004		
2210	12,3873		
2220	12,0724		
2230	11,7762		
2240	11,5093		
2250	11,2447		
2260	10,9806		
2270	10,7183		
2280	10,4593		
2290	10,2206		
2300	9,9904		
2310	9,7687		
2320	9,5503		
2330	9,3404		
2340	9,1457		
2350	8,9392		
2360	8,7663		
2370	8,5905		
2380	8,4094		
2390	8,2317		
2400	8,0675		
2410	7,9084		
2420	7,7543		
2430	7,6020		
2440	7,4570		
2450	7,3210		
2460	7,1805		
2470	7,0417		
2480	6,9238		
2490	6,8047		
2500	6,6811		
2510	6,5576		
2520	6,4498		
2530	6,3460		
2540	6,2393		
2550	6,1378		
2560	6,0371		
2570	5,9482		
2580	5,8568		
2590	5,7620		
2600	5,6723		
2610	5,5868		
2620	5,5149		
2630	5,4336		
2640	5,3524		
2650	5,2863		
2660	5,2051		
2670	5,1323		
2680	5,0733		
2690	5,0054		
2700	4,9444		
2710	4,8733		
2720	4,8141		
2730	4,7574		
2740	4,7041		
2750	4,6448		
2760	4,5923		
2770	4,5348		
2780	4,4891		
2790	4,4417		
2800	4,3926		
2810	4,3486		
2820	4,2978		
2830	4,2639		
2840	4,2182		
2850	4,1725		
2860	4,1421		
2870	4,0981		
2880	4,0557		
2890	4,0270		
2900	3,9846		
2910	3,9406		
2920	3,9136		
2930	3,8797		
2940	3,8371		
2950	3,8086		
2960	3,7917		
2970	3,7595		
2980	3,7274		
2990	3,6929		
3000	3,6766		
3010	3,6461		
3020	3,6179		
3030	3,5936		
3040	3,5699		
3050	3,5527		
3060	3,5225		
3070	3,5005		
3080	3,4684		
3090	3,4481		
3100	3,4362		
3110	3,4142		
3120	3,3888		
3130	3,3685		
3140	3,3380		
3150	3,3279		
3160	3,3138		
3170	3,2889		
3180	3,2703		
3190	3,2449		
3200	3,2263		
3210	3,2128		
3220	3,2032		
3230	3,1789		
3240	3,1637		
3250	3,1434		
3260	3,1264		
3270	3,1112		
3280	3,0994		
3290	3,0858		
3300	3,0748		
3310	3,0537		
3320	3,0350		
3330	3,0232		
3340	3,0080		
3350	2,9927		
3360	2,9843		
3370	2,9707		
3380	2,9555		
3390	2,9436		
3400	2,9301		
3410	2,9132		
3420	2,8979		
3430	2,8931		
3440	2,8810		
3450	2,8708		
3460	2,8607		
3470	2,8471		
3480	2,8370		
3490	2,8201		
3500	2,8048		
3510	2,7964		
3520	2,7845		
3530	2,7727		
3540	2,7642		
3550	2,7524		
3560	2,7473		
3570	2,7391		
3580	2,7354		
3590	2,7236		
3600	2,7083		
3610	2,7033		
3620	2,6931		
3630	2,6858		
3640	2,6745		
3650	2,6626		
3660	2,6559		
3670	2,6423		
3680	2,6322		
3690	2,6285		
3700	2,6288		
3710	2,6169		
3720	2,6152		
3730	2,6000		
3740	2,5932		
3750	2,5811		
3760	2,5780		
3770	2,5662		
3780	2,5577		
3790	2,5526		
3800	2,5425		
3810	2,5374		
3820	2,5289		
3830	2,5171		
3840	2,5120		
3850	2,5120		
3860	2,5061		
3870	2,4984		
3880	2,4815		
3890	2,4764		
3900	2,4663		
3910	2,4567		
3920	2,4511		
3930	2,4460		
3940	2,4358		
3950	2,4310		
3960	2,4257		
3970	2,4172		
3980	2,4121		
3990	2,4053		
4000	2,3994		
4010	2,3952		
4020	2,3952		
4030	2,3884		
4040	2,3876		
4050	2,3800		
4060	2,3732		
4070	2,3732		
4080	2,3613		
4090	2,3520		
4100	2,3512		
4110	2,3495		
4120	2,3393		
4130	2,3359		
4140	2,3292		
4150	2,3275		
4160	2,3145		
4170	2,3106		
4180	2,3072		
4190	2,2987		
4200	2,2936		
4210	2,2885		
4220	2,2835		
4230	2,2818		
4240	2,2767		
4250	2,2750		
4260	2,2711		
4270	2,2699		
4280	2,2665		
4290	2,2598		
4300	2,2564		
4310	2,2513		
4320	2,2513		
4330	2,2445		
4340	2,2361		
4350	2,2310		
4360	2,2276		
4370	2,2175		
4380	2,2158		
4390	2,2107		
4400	2,2056		
4410	2,2073		
4420	2,2039		
4430	2,1921		
4440	2,1904		
4450	2,1836		
4460	2,1768		
4470	2,1785		
4480	2,1684		
4490	2,1633		
4500	2,1616		
4510	2,1633		
4520	2,1565		
4530	2,1565		
4540	2,1565		
4550	2,1548		
4560	2,1464		
4570	2,1464		
4580	2,1413		
4590	2,1328		
4600	2,1345		
4610	2,1260		
4620	2,1227		
4630	2,1142		
4640	2,1193		
4650	2,1108		
4660	2,1007		
4670	2,1024		
4680	2,0990		
4690	2,0939		
4700	2,0888		
4710	2,0905		
4720	2,0871		
4730	2,0820		
4740	2,0770		
4750	2,0736		
4760	2,0719		
4770	2,0617		
4780	2,0617		
4790	2,0600		
4800	2,0516		
4810	2,0499		
4820	2,0482		
4830	2,0414		
4840	2,0380		
4850	2,0380		
4860	2,0380		
4870	2,0363		
4880	2,0346		
4890	2,0313		
4900	2,0245		
4910	2,0262		
4920	2,0177		
4930	2,0126		
4940	2,0093		
4950	2,0076		
4960	2,0059		
4970	2,0008		
4980	1,9957		
4990	2,0008		
5000	1,9940		
5010	1,9940		
5020	1,9805		
5030	1,9839		
5040	1,9771		
5050	1,9754		
5060	1,9737		
5070	1,9686		
5080	1,9652		
5090	1,9635		
5100	1,9585		
