Time	Channel 8
Seconds	mW

0	0,0000
10	0,0000
20	0,0000
30	-0,0017
40	0,0035
50	0,0035
60	-0,0104
70	-0,0052
80	0,0000
90	0,0000
100	-0,0052
110	-0,0017
120	-0,0035
130	-0,0035
140	-0,0069
150	-0,0052
160	-0,0035
170	-0,0052
180	-0,0035
190	0,0069
200	-0,0060
210	-0,0086
220	0,0035
230	-0,0069
240	-0,0040
250	-0,0052
260	-0,0106
270	-0,0052
280	-0,0017
290	-0,0104
300	-0,0138
310	-0,0155
320	-0,0017
330	-0,0035
340	-0,0052
350	-0,0069
360	-0,0076
370	-0,0138
380	-0,0035
390	-0,0138
400	-0,0052
410	-0,0035
420	-0,0035
430	-0,0104
440	-0,0121
450	-0,0017
460	-0,0017
470	-0,0138
480	-0,0052
490	-0,0104
500	-0,0227
510	-0,0121
520	-0,0017
530	-0,0017
540	-0,0104
550	-0,0052
560	-0,0069
570	-0,0035
580	0,0017
590	-0,0138
600	-0,0121
610	-0,0035
620	-0,0052
630	-0,0052
640	-0,0035
650	0,0017
660	-0,0052
670	-0,0086
680	-0,0104
690	0,0017
700	0,0000
710	-0,0052
720	-0,0052
730	-0,0086
740	-0,0052
750	-0,0015
760	-0,0052
770	-0,0086
780	-0,0052
790	-0,0052
800	-0,0069
810	-0,0052
820	-0,0086
830	0,0000
840	0,0000
850	-0,0035
860	0,0000
870	-0,0069
880	-0,0069
890	0,0069
900	-0,0104
910	-0,0121
920	0,0000
930	0,0000
940	-0,0069
950	-0,0069
960	-0,0069
970	0,0017
980	-0,0035
990	-0,0052
1000	0,0052
1010	-0,0017
1020	0,0052
1030	-0,0052
1040	-0,0017
1050	-0,0069
1060	-0,0069
1070	-0,0035
1080	-0,0017
1090	0,0069
1100	-0,0017
1110	-0,0086
1120	0,0035
1130	-0,0017
1140	-0,0017
1150	0,0000
1160	0,0000
1170	-0,0091
1180	-0,0104
1190	-0,0052
1200	-0,0069
1210	-0,0104
1220	0,0052
1230	-0,0069
1240	-0,0121
1250	-0,0035
1260	-0,0104
1270	-0,0121
1280	0,0035
1290	-0,0035
1300	0,0035
1310	0,0052
1320	-0,0104
1330	0,0000
1340	-0,0052
1350	-0,0035
1360	-0,0086
1370	0,0017
1380	-0,0017
1390	-0,0104
1400	-0,0104
1410	-0,0086
1420	-0,0052
1430	0,0017
1440	0,0000
1450	-0,0052
1460	-0,0069
1470	0,0000
1480	-0,0052
1490	-0,0086
1500	-0,0035
1510	-0,0035
1520	0,0017
1530	-0,0069
1540	-0,0086
1550	-0,0052
1560	-0,0052
1570	0,0035
1580	0,0035
1590	-0,0017
1600	-0,0035
1610	0,0035
1620	0,0017
1630	-0,0069
1640	-0,0017
1650	0,0086
1660	-0,0069
1670	0,0017
1680	-0,0017
1690	0,0000
1700	0,0000
1710	0,0017
1720	-0,0017
1730	-0,0086
1740	-0,0035
1750	-0,0035
1760	-0,0052
1770	0,0052
1780	-0,0121
1790	-0,0035
1800	0,0069
1810	-0,0035
1820	-0,0035
1830	-0,0052
1840	0,0017
1850	-0,0069
1860	-0,0017
1870	0,0000
1880	0,0121
1890	-0,0035
1900	-0,0035
1910	0,0017
1920	0,0035
1930	-0,0017
1940	-0,0069
1950	0,0104
1960	-0,0138
1970	-0,0069
1980	-0,0017
1990	-0,0052
2000	0,0052
2010	0,0000
2020	-0,0035
2030	-0,0052
2040	-0,0035
2050	0,0052
2060	0,0017
2070	0,0017
2080	-0,0138
2090	-0,0017
2100	0,0017
2110	0,0000
2120	0,0017
2130	-0,0052
2140	0,0017
2150	-0,0017
2160	0,0069
2170	0,0035
2180	0,0000
2190	-0,0069
2200	-0,0017
2210	0,0017
2220	0,0017
2230	-0,0060
2240	0,0017
2250	0,0035
2260	-0,0069
2270	-0,0069
2280	-0,0017
2290	0,0035
2300	-0,0035
2310	-0,0017
2320	-0,0086
2330	-0,0052
2340	0,0052
2350	0,0069
2360	0,0000
2370	-0,0017
2380	0,0035
2390	0,0035
2400	0,0035
2410	-0,0035
2420	0,0017
2430	0,0000
2440	-0,0017
2450	-0,0121
2460	0,0017
2470	0,0035
2480	-0,0052
2490	-0,0035
2500	0,0000
2510	0,0017
2520	0,0035
2530	-0,0017
2540	-0,0035
2550	0,0017
2560	0,0069
2570	0,0069
2580	0,0086
2590	-0,0069
2600	-0,0035
2610	0,0017
2620	0,0017
2630	0,0020
2640	0,0052
2650	0,0035
2660	0,0069
2670	0,0035
2680	-0,0086
2690	-0,0035
2700	-0,0017
2710	-0,0017
2720	-0,0035
2730	0,0052
2740	0,0069
2750	0,0035
2760	-0,0017
2770	0,0000
2780	0,0035
2790	0,0069
2800	0,0086
2810	0,0017
2820	-0,0069
2830	0,0000
2840	0,0086
2850	0,0173
2860	0,0017
2870	-0,0017
2880	0,0069
2890	-0,0052
2900	0,0069
2910	-0,0086
2920	0,0017
2930	0,0000
2940	-0,0017
2950	0,0000
2960	0,0000
2970	0,0052
2980	-0,0035
2990	0,0052
3000	0,0035
3010	0,0052
3020	0,0015
3030	0,0040
3040	0,0000
3050	0,0000
3060	0,0069
3070	-0,0052
3080	-0,0104
3090	0,0086
3100	-0,0017
3110	-0,0017
3120	0,0069
3130	0,0104
3140	-0,0052
3150	0,0017
3160	0,0017
3170	0,0052
3180	-0,0017
3190	-0,0017
3200	0,0017
3210	0,0104
3220	-0,0069
3230	-0,0035
3240	-0,0035
3250	0,0052
3260	0,0104
3270	0,0000
3280	0,0035
3290	-0,0035
3300	0,0104
3310	0,0052
3320	-0,0035
3330	-0,0017
3340	0,0035
3350	0,0052
3360	0,0052
3370	-0,0017
3380	0,0000
3390	0,0069
3400	0,0086
3410	0,0052
3420	0,0052
3430	0,0000
3440	-0,0104
3450	0,0000
3460	0,0052
3470	0,0000
3480	0,0052
3490	0,0121
3500	0,0035
3510	-0,0017
3520	0,0104
3530	0,0035
3540	0,0000
3550	-0,0069
3560	-0,0040
3570	0,0052
3580	0,0086
3590	0,0155
3600	0,0035
3610	0,0000
3620	0,0086
3630	0,0035
3640	0,0000
3650	0,0086
3660	-0,0017
3670	0,0069
3680	-0,0035
3690	0,0017
3700	0,0052
3710	-0,0017
3720	0,0121
3730	-0,0017
3740	-0,0035
3750	-0,0030
3760	0,0035
3770	0,0020
3780	0,0121
3790	0,0052
3800	-0,0052
3810	0,0035
3820	0,0017
3830	0,0052
3840	-0,0035
3850	0,0069
3860	-0,0017
3870	0,0069
3880	0,0069
3890	0,0035
3900	0,0052
3910	0,0035
3920	0,0155
3930	0,0104
3940	0,0000
3950	0,0069
3960	-0,0017
3970	0,0104
3980	0,0035
3990	0,0035
4000	0,0104
4010	0,0035
4020	0,0052
4030	0,0035
4040	0,0035
4050	0,0121
4060	0,0035
4070	0,0000
4080	0,0173
4090	-0,0052
4100	-0,0017
4110	-0,0017
4120	0,0086
4130	0,0069
4140	0,0017
4150	0,0069
4160	0,0069
4170	0,0000
4180	0,0052
4190	0,0104
4200	0,0190
4210	0,0052
4220	0,0035
4230	0,0035
4240	-0,0020
4250	0,0138
4260	-0,0017
4270	0,0017
4280	-0,0017
4290	0,0017
4300	0,0052
4310	0,0045
4320	0,0138
4330	0,0017
4340	-0,0017
4350	0,0069
4360	-0,0017
4370	-0,0017
4380	0,0017
4390	0,0035
4400	0,0017
4410	0,0086
4420	0,0086
4430	0,0000
4440	0,0121
4450	-0,0035
4460	0,0000
4470	0,0017
4480	-0,0017
4490	-0,0052
4500	0,0035
4510	-0,0069
4520	0,0035
4530	-0,0069
4540	-0,0017
4550	0,0069
4560	0,0121
4570	0,0035
4580	-0,0069
4590	-0,0035
4600	0,0017
4610	0,0069
4620	0,0017
4630	0,0076
4640	0,0069
4650	0,0086
4660	0,0069
4670	0,0000
4680	0,0000
4690	0,0017
4700	-0,0052
4710	0,0069
4720	0,0086
4730	0,0000
4740	0,0052
4750	0,0000
4760	-0,0035
4770	0,0017
4780	0,0060
4790	0,0121
4800	0,0052
4810	0,0138
4820	0,0000
4830	0,0069
4840	-0,0017
4850	0,0052
4860	0,0000
4870	0,0052
4880	-0,0017
4890	0,0086
4900	-0,0017
4910	0,0035
4920	0,0017
4930	0,0052
4940	0,0069
4950	0,0017
4960	0,0017
4970	0,0086
4980	0,0086
4990	0,0069
5000	-0,0035
5010	0,0104
5020	0,0000
5030	0,0086
5040	0,0086
5050	0,0052
5060	0,0086
5070	0,0121
5080	0,0086
5090	0,0069
5100	0,0086
5110	0,0104
5120	-0,0035
5130	0,0035
5140	0,0207
5150	0,0069
5160	0,0035
5170	0,0017
5180	0,0035
5190	0,0035
5200	0,0052
5210	0,0052
5220	0,0035
5230	0,0017
5240	0,0086
5250	0,0086
5260	0,0017
5270	0,0035
5280	0,0069
5290	0,0017
5300	0,0052
5310	0,0069
5320	0,0069
5330	0,0104
5340	0,0104
5350	0,0017
5360	0,0035
5370	0,0052
5380	0,0086
5390	0,0069
5400	0,0138
5410	0,0035
5420	0,0086
5430	0,0086
5440	0,0138
5450	0,0052
5460	-0,0035
5470	0,0035
5480	0,0086
5490	-0,0052
5500	0,0069
5510	0,0000
5520	0,0052
5530	0,0060
5540	0,0069
