"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-2213.14858412743,24.0542423335561,19.9998868704765,-1.17462539057082E-06,NaN,-2.74188933373207E-07,NaN,""
-2188.97426772118,24.0501787163972,19.9996563378506,-1.22497298266937E-06,NaN,-2.8594140585186E-07,NaN,""
-2174.01833510399,24.0455085673971,19.9996615119688,-1.25612154473042E-06,NaN,-2.93212312028576E-07,NaN,""
-2152.22048354149,24.0367460745412,19.9996690531008,-1.35148152319593E-06,NaN,-3.15471877496716E-07,NaN,""
-2135.20583510399,24.0299063759154,19.9996749394474,-1.43341800613835E-06,NaN,-3.3459804064854E-07,NaN,""
-2131.07827162743,24.0282471415008,19.9996763674092,-1.42084458509103E-06,NaN,-3.31663068415273E-07,NaN,""
-2116.14858412743,24.0222455738838,19.9992856681139,-1.37536563652773E-06,NaN,-3.21047067350078E-07,NaN,""
-2100.61538100243,24.0167670913987,19.9996004339117,-1.32804825323052E-06,NaN,-3.10001926524397E-07,NaN,""
-2085.08217787743,24.0284861793925,19.9999151997094,-1.30934673318671E-06,NaN,-3.05636492340503E-07,NaN,""
-2064.09584975243,24.0443193996231,19.9998716083783,-1.29010623361676E-06,NaN,-3.01145245942287E-07,NaN,""
-2042.75014662743,24.0304650063759,19.9998272705786,-1.27053625504067E-06,NaN,-2.96577090345627E-07,NaN,""
-2035.24233412743,24.0255920731119,19.9998116758762,-1.1017149177483E-06,NaN,-2.57169682014077E-07,NaN,""
-2029.89077162743,23.9847047294097,19.9998005599854,-9.81379209064361E-07,NaN,-2.29080114160682E-07,NaN,""
-2024.87514662743,23.9495939286073,19.9997901418804,-9.80086659383605E-07,NaN,-2.28778398548927E-07,NaN,""
-1993.51674818993,24.0096378912137,19.9997250064111,-9.72005455567647E-07,NaN,-2.26892029777695E-07,NaN,""
-1970.66860365868,24.02181309294,19.9996775478454,-9.04332613369696E-07,NaN,-2.11095381272105E-07,NaN,""
-1966.04686903954,24.0242758991096,19.9996679479019,-8.81122212037422E-07,NaN,-2.05677453790248E-07,NaN,""
-1943.63678908348,24.0418646803563,19.9995944221672,-7.68578547692386E-07,NaN,-1.79406757164423E-07,NaN,""
-1924.64858412743,24.0776128211569,19.9995321233391,-6.73219576672223E-07,NaN,-1.5714742686093E-07,NaN,""
-1906.99868178368,24.0525332058336,19.999699763158,-4.76039171080498E-07,NaN,-1.11120254687324E-07,NaN,""
-1892.67006850243,24.0321729736799,19.999879894393,-2.82708282769051E-07,NaN,-6.59916626445031E-08,NaN,""
-1875.02016615868,24.0184015179496,19.9999817709191,-4.45644211301404E-08,NaN,-1.04025259407424E-08,NaN,""
-1859.49038100243,24.0085906074778,20.0000714099738,8.62834689324173E-08,NaN,2.01408657638696E-08,NaN,""
-1858.28920912743,24.0078317695668,20.0000783432256,9.61571528098437E-08,NaN,2.24456472478627E-08,NaN,""
-1852.41420912743,24.0620295429754,20.0001122541549,1.44449902571305E-07,NaN,3.37184646524987E-08,NaN,""
-1848.34389662743,24.0795391934822,19.9999842430709,1.77908044360827E-07,NaN,4.15284884128916E-08,NaN,""
-1837.96108412743,24.0600294356322,19.9996577042404,2.63255204511069E-07,NaN,6.14507947037976E-08,NaN,""
-1811.87124037743,24.0110054805229,19.9997300122917,4.77714829282876E-07,NaN,1.11511398058561E-07,NaN,""
-1787.05874037743,24.0180041610265,19.9998064790737,6.75319763252909E-07,NaN,1.57637666492276E-07,NaN,""
-1757.02358412743,24.0264759580027,20.0000707514574,6.58087850732679E-07,NaN,1.53615277948805E-07,NaN,""
-1742.64858412743,24.0305306091761,20.0001972337532,8.60880623650547E-07,NaN,2.00952526529073E-07,NaN,""
-1730.14711928368,24.0318563165034,20.0000274486275,9.95206595835208E-07,NaN,2.3230779547974E-07,NaN,""
-1706.00795912743,24.0318898978961,19.9996996094187,7.9413872436179E-07,NaN,1.85373184958401E-07,NaN,""
-1681.86391615868,24.0319234860816,19.9996336806645,5.87840925755148E-07,NaN,1.37217769784115E-07,NaN,""
-1661.71499037743,24.0319515164267,19.9995786611479,3.64056179753258E-07,NaN,8.49804341160732E-08,NaN,""
-1649.51967787743,24.067514657004,19.9995453601071,2.28608516693929E-07,NaN,5.33633325616081E-08,NaN,""
-1640.79897475243,24.0812830386241,19.9995218484507,2.02848417548242E-07,NaN,4.73502375229324E-08,NaN,""
-1622.96889662743,24.0734322010295,19.9996478972775,1.50180120773109E-07,NaN,3.50560506006323E-08,NaN,""
-1580.93178725243,24.0549226624657,19.9999450764758,-6.25272141544592E-07,NaN,-1.45955215113117E-07,NaN,""
-1564.79018568993,24.0478152851734,19.9996845072858,-7.8333361659808E-07,NaN,-1.82850984266592E-07,NaN,""
-1552.77358412743,24.0425242041896,19.9994905267737,-8.50400811255931E-07,NaN,-1.98506258463102E-07,NaN,""
-1543.30483412743,24.0383549785725,19.9995159946855,-1.05934747949988E-06,NaN,-2.47279990546191E-07,NaN,""
-1533.83608412743,24.0341857529554,19.9996791125024,-1.26829414774384E-06,NaN,-2.9605372262928E-07,NaN,""
-1525.26125502586,24.0304101334541,19.9998268307761,-1.32442269668806E-06,NaN,-3.09155624810472E-07,NaN,""
