Time	heat flow	Time markers	sample_mass
			
0	-0.095		4.00769230769231
10	-0.095		
20	-0.095		
30	-0.095		
40	-0.0967		
50	-0.095		
60	-0.0967		
70	-0.095		
80	-0.095		
90	-0.095		
100	-0.095		
110	-0.095		
120	-0.0967		
130	-0.095		
140	-0.0967		
150	-0.095		
160	-0.095		
170	-0.095		
180	-0.0933		
190	-0.0967		
200	-0.095		
210	-0.0967		
220	-0.095		
230	-0.0933		
240	-0.0933		
250	-0.0933		
260	-0.0967		
270	-0.0933		
280	-0.095		
290	-0.095		
300	-0.095		
310	-0.095		
320	-0.095		
330	-0.095		
340	-0.0967		
350	-0.0967		
360	-0.095		
370	-0.095		
380	-0.095		
390	-0.0933		
400	-0.0933		
410	-0.0916		
420	-0.095		
430	-0.095		
440	-0.095		
450	-0.095		
460	-0.0933		
470	-0.095		
480	-0.095		
490	-0.0933		
500	-0.0916		
510	-0.095		
520	-0.0933		
530	-0.095		
540	-0.095		
550	-0.095		
560	-0.0933		
570	-0.095		
580	-0.095		
590	-0.095		
600	-0.0933		
610	-0.095		
620	-0.0935		
630	-0.095		
640	-0.0933		
650	-0.095		
660	-0.0933		
670	-0.095		
680	-0.092		
690	-0.0933		
700	-0.0916		
710	-0.095		
720	-0.0933		
730	-0.095		
740	-0.0933		
750	-0.0899		
760	-0.0933		
770	-0.095		
780	-0.0916		
790	-0.0933		
800	-0.0916		
810	-0.0899		
820	-0.095		
830	-0.095		
840	-0.095		
850	-0.0916		
860	-0.095		
870	-0.095		
880	-0.095		
890	-0.0933		
900	-0.0899		
910	-0.0933		
920	-0.0933		
930	-0.0933		
940	-0.095		
950	-0.095		
960	-0.0933		
970	-0.0933		
980	-0.0933		
990	-0.095		
1000	-0.0916		
1010	-0.0933		
1020	-0.0916		
1030	-0.0933		
1040	-0.0933		
1050	-0.095		
1060	-0.0916		
1070	-0.0882		
1080	-0.0916		
1090	-0.0933		
1100	-0.0933		
1110	-0.0933		
1120	-0.0916		
1130	-0.0882		
1140	-0.0916		
1150	-0.0933		
1160	-0.095		
1170	-0.0899		
1180	-0.0933		
1190	-0.0933		
1200	-0.0933		
1210	-0.095		
1220	-0.0916		
1230	-0.0933		
1240	-0.0933		
1250	-0.095		
1260	-0.0882		
1270	-0.0933		
1280	-0.0933		
1290	-0.0865		
1300	-0.0933		
1310	-0.0916		
1320	-0.0916		
1330	-0.0899		
1340	-0.0916		
1350	-0.0933		
1360	-0.0899		
1370	-0.0899		
1380	-0.0865		
1390	-0.0882		
1400	-0.095		
1410	-0.0933		
1420	-0.0916		
1430	-0.0916		
1440	-0.0916		
1450	-0.0916		
1460	-0.0882		
1470	-0.0899		
1480	-0.0882		
1490	-0.0916		
1500	-0.0899		
1510	-0.0933		
1520	-0.0933		
1530	-0.0916		
1540	-0.0933		
1550	-0.0899		
1560	-0.0899		
1570	-0.0933		
1580	-0.0899		
1590	-0.0933		
1600	-0.0882		
1610	-0.0916		
1620	-0.0871		
1630	-0.0905		
1640	-0.089		
1650	-0.0916		
1660	-0.0865		
1670	-0.0899		
1680	-0.0916		
1690	-0.0933		
1700	-0.0865		
1710	-0.0882		
1720	-0.0848		
1730	-0.0933		
1740	-0.0933		
1750	-0.0865		
1760	-0.0865		
1770	-0.0933		
1780	-0.0882		
1790	-0.0916		
1800	-0.0905		
1810	-0.0865		
1820	-0.0865		
1830	-0.0899		
1840	-0.095		
1850	-0.0882		
1860	-0.0882		
1870	-0.0871		
1880	-0.0882		
1890	-0.0865		
1900	-0.0899		
1910	-0.0861		
1920	-0.0916		
1930	-0.0865		
1940	-0.0933		
1950	-0.0865		
1960	-0.0916		
1970	-0.0882		
1980	-0.0848		
1990	-0.0831		
2000	-0.0865		
2010	-0.0848		
2020	-0.0865		
2030	-0.0848		
2040	-0.0865		
2050	-0.0865		
2060	-0.0882		
2070	-0.0916		
2080	-0.0848		
2090	-0.0848		
2100	-0.0899		
2110	-0.0882		
2120	-0.0882		
2130	-0.0882		
2140	-0.0848		
2150	-0.0899		
2160	-0.0899		
2170	-0.0899		
2180	-0.0865		
2190	-0.0882		
2200	-0.0916		
2210	-0.0899		
2220	-0.0848		
2230	-0.0882		
2240	-0.0916		
2250	-0.0899		
2260	-0.0882		
2270	-0.0916		
2280	-0.0814		
2290	-0.0882		
2300	-0.0848		
2310	-0.0882		
2320	-0.0865		
2330	-0.0865		
2340	-0.0831		
2350	-0.0882		
2360	-0.0831		
2370	-0.0831		
2380	-0.0865		
2390	-0.0831		
2400	-0.0865		
2410	-0.0831		
2420	-0.0814		
2430	-0.0865		
2440	-0.0848		
2450	-0.0882		
2460	-0.0865		
2470	-0.0814		
2480	-0.0846		
2490	-0.0831		
2500	-0.0831		
2510	-0.0831		
2520	-0.0865		
2530	-0.0861		
2540	-0.089		
2550	-0.0876		
2560	-0.0848		
2570	-0.0848		
2580	-0.0899		
2590	-0.0882		
2600	-0.0865		
2610	-0.0814		
2620	-0.0848		
2630	-0.0882		
2640	-0.0882		
2650	-0.0831		
2660	-0.0848		
2670	-0.0831		
2680	-0.0882		
2690	-0.0865		
2700	-0.0831		
2710	-0.0797		
2720	-0.0848		
