"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1873.368215084076,20,NaN,NaN,NaN,NaN,""
-1873.0396950244904,20,-4.884497973428387E-06,NaN,-1.0163333278044918E-06,NaN,""
-1842.8985817432404,19.999999999999996,-4.336797402572832E-06,NaN,-9.023714945012135E-07,NaN,""
-1781.1695778369904,20,-4.198887603817377E-06,NaN,-8.73676155600786E-07,NaN,""
-1744.5396950244904,20,-4.584806618817977E-06,NaN,-9.539755761169325E-07,NaN,""
-1723.0514137744904,20,-4.158709125096915E-06,NaN,-8.653160892835861E-07,NaN,""
-1703.3990700244904,20,-3.7030973817832627E-06,NaN,-7.705154768587729E-07,NaN,""
-1678.3678200244904,19.999999999999996,-3.899566737297469E-06,NaN,-8.113954925712587E-07,NaN,""
-1658.1959450244904,20,-3.4221466975694125E-06,NaN,-7.12057157213777E-07,NaN,""
-1635.1061012744904,20.000000000000004,-3.5852241397992717E-06,NaN,-7.45989209279915E-07,NaN,""
-1613.7955543994904,19.999999999999996,-3.049715752069837E-06,NaN,-6.345642430440776E-07,NaN,""
-1595.1256325244904,20,-3.093791637296926E-06,NaN,-6.4373525536765E-07,NaN,""
-1572.4811012744904,20,-2.6195657457154684E-06,NaN,-5.450615367697604E-07,NaN,""
-1527.9864723682404,20,-3.2193865298022996E-06,NaN,-6.698681918023927E-07,NaN,""
-1460.6720192432404,19.999999999999996,-1.6881224656670775E-06,NaN,-3.512531139548642E-07,NaN,""
-1390.7896950244904,20,-1.980367015956254E-06,NaN,-4.120613849263949E-07,NaN,""
-1369.3326637744904,20,-1.3173333741682252E-06,NaN,-2.7410182566962656E-07,NaN,""
-1350.5396950244904,20,-1.8101539903953192E-06,NaN,-3.766446089045608E-07,NaN,""
-1280.0428688526154,20,-9.792208892484224E-07,NaN,-2.0374966484569758E-07,NaN,""
-1227.0436012744904,20.000000000000004,-1.145201152155614E-06,NaN,-2.3828571622047733E-07,NaN,""
-1210.0396950244904,20,-7.432519629084923E-07,NaN,-1.546508453825411E-07,NaN,""
-1197.8053200244904,20,-1.2737086265857037E-06,NaN,-2.650246830182488E-07,NaN,""
-1156.5846168994904,20,-4.977125713514672E-07,NaN,-1.0356066819631028E-07,NaN,""
-1118.4713356494904,20,-2.376678485188822E-07,NaN,-4.945231970846488E-08,NaN,""
-1088.9537575244904,20,-8.440981537319917E-07,NaN,-1.756342392284627E-07,NaN,""
-1066.6549293994904,20,-4.196795735546627E-07,NaN,-8.732408937883118E-08,NaN,""
-1046.5396950244904,20,-4.085213515673231E-07,NaN,-8.500236195741223E-08,NaN,""
