Time	Channel 7	Time markers	sample_weight
Seconds	mW		
			
0	-0,0117		6.0028
10	-0,0318		
20	-0,0251		
30	-0,0318		
40	-0,0352		
50	-0,0318		
60	-0,0385		
70	-0,0322		
80	-0,0352		
90	-0,0368		
100	-0,0278		
110	-0,0419		
120	-0,0251		
130	-0,0285		
140	-0,0264		
150	-0,0268		
160	-0,0251		
170	-0,0268		
180	-0,0318		
190	-0,0285		
200	-0,0278		
210	-0,0335		
220	-0,0285		
230	-0,0335		
240	-0,0234		
250	-0,0318		
260	-0,0285		
270	-0,0268		
280	-0,0301		
290	-0,0322		
300	-0,0335		
310	-0,0234		
320	-0,0335		
330	-0,0352		
340	-0,0293		
350	-0,0268		
360	-0,0285		
370	-0,0318		
380	-0,0352		
390	-0,0335		
400	-0,0335		
410	-0,0249		
420	-0,0301		
430	-0,0402		
440	-0,0268		
450	-0,0337		
460	-0,0335		
470	-0,0368		
480	-0,0381		
490	-0,0335		
500	-0,0268		
510	-0,0322		
520	-0,0167		
530	-0,0419		
540	-0,0251		
550	-0,0301		
560	-0,0264		
570	-0,0285		
580	-0,0285		
590	-0,0335		
600	-0,0278		
610	-0,0268		
620	-0,0335		
630	-0,0251		
640	-0,0205		
650	-0,0301		
660	-0,0268		
670	-0,0268		
680	-0,0335		
690	-0,0293		
700	-0,0301		
710	-0,0151		
720	-0,0201		
730	-0,0308		
740	-0,0218		
750	-0,0268		
760	-0,0234		
770	-0,0251		
780	-0,0264		
790	-0,0268		
800	-0,0234		
810	-0,0251		
820	-0,0220		
830	-0,0234		
840	-0,0251		
850	-0,0234		
860	-0,0249		
870	-0,0318		
880	-0,0234		
890	-0,0234		
900	-0,0249		
910	-0,0268		
920	-0,0268		
930	-0,0218		
940	-0,0201		
950	-0,0234		
960	-0,0151		
970	-0,0285		
980	-0,0167		
990	-0,0318		
1000	-0,0322		
1010	-0,0285		
1020	-0,0151		
1030	-0,0268		
1040	-0,0234		
1050	-0,0234		
1060	-0,0134		
1070	-0,0184		
1080	-0,0218		
1090	-0,0268		
1100	-0,0285		
1110	-0,0234		
1120	-0,0167		
1130	-0,0268		
1140	-0,0285		
1150	-0,0117		
1160	-0,0184		
1170	-0,0218		
1180	-0,0220		
1190	-0,0251		
1200	-0,0033		
1210	0,0000		
1220	-0,0084		
1230	-0,0017		
1240	0,0017		
1250	-0,0088		
1260	0,0033		
1270	-0,0017		
1280	0,0033		
1290	-0,0033		
1300	0,0029		
1310	-0,0017		
1320	0,0050		
1330	0,0017		
1340	0,0067		
1350	0,0084		
1360	0,0191		
1370	0,0100		
1380	0,0084		
1390	0,0017		
1400	0,0103		
1410	0,0201		
1420	0,0201		
1430	0,0151		
1440	0,0100		
1450	0,0301		
1460	0,0278		
1470	0,0234		
1480	0,0703		
1490	0,0201		
1500	0,1334		
1510	0,0603		
1520	0,1340		
1530	0,1876		
1540	0,2295		
1550	0,2272		
1560	0,2412		
1570	0,2412		
1580	0,2563		
1590	0,2623		
1600	0,2646		
1610	0,2563		
1620	0,2529		
1630	0,2623		
1640	0,2479		
1650	0,2546		
1660	0,2328		
1670	0,2060		
1680	0,1357		
1690	0,1084		
1700	0,1239		
1710	0,1692		
1720	0,1658		
1730	0,2110		
1740	0,2261		
1750	0,2362		
1760	0,2479		
1770	0,2412		
1780	0,2462		
1790	0,2395		
1800	0,2462		
1810	0,2579		
1820	0,2512		
1830	0,2646		
1840	0,2596		
1850	0,2630		
1860	0,2697		
1870	0,2630		
1880	0,2770		
1890	0,2847		
1900	0,2780		
1910	0,2780		
1920	0,2847		
1930	0,2831		
1940	0,2780		
1950	0,2847		
1960	0,2858		
1970	0,2914		
1980	0,2998		
1990	0,2998		
2000	0,3031		
2010	0,3015		
2020	0,3015		
2030	0,2946		
2040	0,3031		
2050	0,3048		
2060	0,3065		
2070	0,3098		
2080	0,3122		
2090	0,3048		
2100	0,3115		
2110	0,3132		
2120	0,3149		
2130	0,3195		
2140	0,3232		
2150	0,3149		
2160	0,3249		
2170	0,3115		
2180	0,3180		
2190	0,3249		
2200	0,3350		
2210	0,3199		
2220	0,3316		
2230	0,3249		
2240	0,3356		
2250	0,3366		
2260	0,3400		
2270	0,3366		
2280	0,3415		
2290	0,3333		
2300	0,3299		
2310	0,3350		
2320	0,3299		
2330	0,3299		
2340	0,3316		
2350	0,3366		
2360	0,3350		
2370	0,3433		
2380	0,3467		
2390	0,3467		
2400	0,3532		
2410	0,3601		
2420	0,3584		
2430	0,3601		
2440	0,3651		
2450	0,3651		
2460	0,3668		
2470	0,3668		
2480	0,3668		
2490	0,3701		
2500	0,3802		
2510	0,3852		
2520	0,3785		
2530	0,3852		
2540	0,3919		
2550	0,3913		
2560	0,4036		
2570	0,3919		
2580	0,3936		
2590	0,4103		
2600	0,4015		
2610	0,4087		
2620	0,4070		
2630	0,4070		
2640	0,4103		
2650	0,4120		
2660	0,4187		
2670	0,4154		
2680	0,4250		
2690	0,4237		
2700	0,4321		
2710	0,4271		
2720	0,4271		
2730	0,4338		
2740	0,4271		
2750	0,4355		
2760	0,4371		
2770	0,4355		
2780	0,4440		
2790	0,4522		
2800	0,4438		
2810	0,4589		
2820	0,4539		
2830	0,4572		
2840	0,4623		
2850	0,4656		
2860	0,4673		
2870	0,4631		
2880	0,4690		
2890	0,4690		
2900	0,4623		
2910	0,4639		
2920	0,4639		
2930	0,4639		
2940	0,4656		
2950	0,4589		
2960	0,4690		
2970	0,4673		
2980	0,4719		
2990	0,4690		
3000	0,4723		
3010	0,4773		
3020	0,4891		
3030	0,4807		
3040	0,4790		
3050	0,4824		
3060	0,4840		
3070	0,4790		
3080	0,4790		
3090	0,4924		
3100	0,4891		
3110	0,4941		
3120	0,4924		
3130	0,5008		
3140	0,4907		
3150	0,5027		
3160	0,5025		
3170	0,4974		
3180	0,5041		
3190	0,4991		
3200	0,5025		
3210	0,4991		
3220	0,5058		
3230	0,5129		
3240	0,5092		
3250	0,5092		
3260	0,5041		
3270	0,5125		
3280	0,5125		
3290	0,5075		
3300	0,5085		
3310	0,5125		
3320	0,5075		
3330	0,5092		
3340	0,5142		
3350	0,5226		
3360	0,5108		
3370	0,5203		
3380	0,5159		
3390	0,5092		
3400	0,4991		
3410	0,4907		
3420	0,4907		
3430	0,4974		
3440	0,4983		
3450	0,4974		
3460	0,4991		
3470	0,4891		
3480	0,4958		
3490	0,4924		
3500	0,4907		
3510	0,4941		
3520	0,5025		
3530	0,4857		
3540	0,4891		
3550	0,4924		
3560	0,4907		
3570	0,4891		
3580	0,4991		
3590	0,5025		
3600	0,4907		
3610	0,4924		
3620	0,4907		
3630	0,4924		
3640	0,4968		
3650	0,4974		
3660	0,5025		
3670	0,4991		
3680	0,4924		
3690	0,4924		
3700	0,5041		
3710	0,4958		
3720	0,5041		
3730	0,5041		
3740	0,4958		
3750	0,4907		
3760	0,4991		
3770	0,5041		
3780	0,5027		
3790	0,5008		
3800	0,4958		
3810	0,5025		
3820	0,5025		
3830	0,5008		
3840	0,5041		
3850	0,5025		
3860	0,5041		
3870	0,5008		
3880	0,5075		
3890	0,4983		
3900	0,5025		
3910	0,5008		
3920	0,5075		
3930	0,4968		
3940	0,4874		
3950	0,4941		
3960	0,4757		
3970	0,4757		
3980	0,4723		
3990	0,4891		
4000	0,4824		
4010	0,4891		
4020	0,4958		
4030	0,4924		
4040	0,4941		
4050	0,4941		
4060	0,4974		
4070	0,4907		
4080	0,4974		
4090	0,4991		
4100	0,4991		
4110	0,4974		
4120	0,5125		
4130	0,5232		
4140	0,5125		
4150	0,5192		
4160	0,5159		
4170	0,5326		
4180	0,5192		
4190	0,5410		
4200	0,5427	Reaction start	
4210	0,5494		
4220	0,5460		
4230	0,5544		
4240	0,5510		
4250	0,5611		
4260	0,5594		
4270	0,5678		
4280	0,5728		
4290	0,5661		
4300	0,5711		
4310	0,5762		
4320	0,5803		
4330	0,5879		
4340	0,5979		
4350	0,5962		
4360	0,5979		
4370	0,5979		
4380	0,6147		
4390	0,6163		
4400	0,6113		
4410	0,6230		
4420	0,6230		
4430	0,6302		
4440	0,6281		
4450	0,6348		
4460	0,6331		
4470	0,6398		
4480	0,6515		
4490	0,6507		
4500	0,6498		
4510	0,8073		
4520	64,7198		
4530	174,7864		
4540	245,0065		
4550	285,7223		
4560	308,9709		
4570	321,7116		
4580	327,8969		
4590	329,1479		
4600	327,1532		
4610	323,0732		
4620	317,5529		
4630	311,0143		
4640	303,8509		
4650	296,1801		
4660	288,2664		
4670	280,2806		
4680	272,1341		
4690	264,0798		
4700	256,1342		
4710	248,3395		
4720	240,6803		
4730	233,1753		
4740	225,8126		
4750	218,7112		
4760	211,8979		
4770	204,7948		
4780	197,9530		
4790	191,7544		
4800	185,7450		
4810	179,9617		
4820	174,3342		
4830	168,5120		
4840	162,8547		
4850	157,7163		
4860	152,8156		
4870	148,0658		
4880	143,4498		
4890	139,0249		
4900	134,3790		
4910	129,9203		
4920	125,9292		
4930	122,0753		
4940	118,3437		
4950	114,7294		
4960	111,1703		
4970	107,6967		
4980	104,3352		
4990	101,1312		
5000	98,0026		
5010	94,7915		
5020	91,6850		
5030	88,8729		
