Time	Channel 4	Time markers	sample_weight
Seconds	mW		
			
0	0,0000		6.0474
10	-0,0102		
20	-0,0183		
30	-0,0117		
40	-0,0133		
50	-0,0175		
60	-0,0150		
70	-0,0200		
80	-0,0087		
90	-0,0150		
100	-0,0133		
110	-0,0183		
120	-0,0102		
130	-0,0150		
140	-0,0133		
150	-0,0167		
160	-0,0133		
170	-0,0219		
180	-0,0067		
190	-0,0067		
200	-0,0067		
210	-0,0117		
220	-0,0050		
230	-0,0183		
240	-0,0189		
250	-0,0167		
260	-0,0083		
270	-0,0050		
280	-0,0083		
290	-0,0073		
300	-0,0050		
310	-0,0183		
320	-0,0067		
330	-0,0117		
340	-0,0117		
350	-0,0083		
360	-0,0083		
370	-0,0102		
380	-0,0117		
390	-0,0167		
400	-0,0029		
410	-0,0133		
420	-0,0067		
430	-0,0083		
440	-0,0087		
450	-0,0083		
460	-0,0050		
470	-0,0100		
480	-0,0131		
490	-0,0100		
500	-0,0083		
510	-0,0067		
520	-0,0058		
530	-0,0067		
540	-0,0150		
550	-0,0033		
560	-0,0102		
570	-0,0133		
580	-0,0067		
590	-0,0067		
600	-0,0117		
610	-0,0146		
620	-0,0117		
630	-0,0050		
640	-0,0150		
650	-0,0131		
660	-0,0100		
670	-0,0117		
680	-0,0117		
690	-0,0073		
700	-0,0100		
710	-0,0067		
720	-0,0133		
730	-0,0100		
740	-0,0146		
750	-0,0133		
760	-0,0117		
770	-0,0117		
780	-0,0044		
790	-0,0100		
800	-0,0117		
810	-0,0150		
820	-0,0017		
830	-0,0087		
840	-0,0150		
850	-0,0117		
860	-0,0100		
870	-0,0175		
880	-0,0117		
890	-0,0133		
900	-0,0146		
910	-0,0067		
920	-0,0067		
930	-0,0083		
940	-0,0117		
950	-0,0133		
960	-0,0117		
970	-0,0083		
980	-0,0146		
990	-0,0150		
1000	-0,0100		
1010	0,0033		
1020	-0,0017		
1030	-0,0050		
1040	-0,0102		
1050	-0,0117		
1060	-0,0083		
1070	-0,0150		
1080	-0,0146		
1090	-0,0150		
1100	-0,0067		
1110	-0,0100		
1120	-0,0175		
1130	-0,0067		
1140	-0,0150		
1150	-0,0117		
1160	-0,0117		
1170	-0,0183		
1180	-0,0150		
1190	-0,0117		
1200	-0,0102		
1210	-0,0083		
1220	-0,0083		
1230	-0,0200		
1240	-0,0087		
1250	-0,0183		
1260	-0,0117		
1270	-0,0150		
1280	-0,0131		
1290	-0,0183		
1300	-0,0100		
1310	-0,0166		
1320	-0,0160		
1330	-0,0200		
1340	-0,0100		
1350	-0,0133		
1360	-0,0146		
1370	-0,0167		
1380	-0,0133		
1390	-0,0166		
1400	-0,0083		
1410	-0,0248		
1420	-0,0167		
1430	-0,0167		
1440	-0,0100		
1450	-0,0083		
1460	-0,0117		
1470	-0,0133		
1480	-0,0216		
1490	-0,0277		
1500	-0,0183		
1510	-0,0250		
1520	-0,0150		
1530	-0,0262		
1540	-0,0233		
1550	-0,0050		
1560	-0,0150		
1570	-0,0102		
1580	-0,0200		
1590	-0,0200		
1600	-0,0166		
1610	-0,0219		
1620	-0,0150		
1630	-0,0150		
1640	-0,0183		
1650	-0,0133		
1660	-0,0146		
1670	-0,0183		
1680	-0,0150		
1690	-0,0250		
1700	-0,0087		
1710	-0,0216		
1720	-0,0166		
1730	-0,0167		
1740	-0,0204		
1750	-0,0083		
1760	-0,0200		
1770	-0,0166		
1780	-0,0250		
1790	-0,0175		
1800	-0,0250		
1810	-0,0266		
1820	-0,0200		
1830	-0,0233		
1840	-0,0216		
1850	-0,0167		
1860	-0,0175		
1870	-0,0150		
1880	-0,0150		
1890	-0,0216		
1900	-0,0175		
1910	-0,0250		
1920	-0,0150		
1930	-0,0200		
1940	-0,0183		
1950	-0,0087		
1960	-0,0266		
1970	-0,0133		
1980	-0,0133		
1990	-0,0146		
2000	-0,0233		
2010	-0,0117		
2020	-0,0216		
2030	-0,0204		
2040	-0,0216		
2050	-0,0233		
2060	-0,0183		
2070	-0,0160		
2080	-0,0250		
2090	-0,0200		
2100	-0,0233		
2110	-0,0102		
2120	-0,0100		
2130	-0,0133		
2140	-0,0216		
2150	-0,0189		
2160	-0,0216		
2170	-0,0167		
2180	-0,0266		
2190	-0,0204		
2200	-0,0133		
2210	-0,0233		
2220	-0,0183		
2230	-0,0160		
2240	-0,0216		
2250	-0,0083		
2260	-0,0175		
2270	-0,0133		
2280	-0,0150		
2290	-0,0100		
2300	-0,0117		
2310	-0,0117		
2320	-0,0175		
2330	-0,0117		
2340	-0,0133		
2350	-0,0150		
2360	0,0306		
2370	0,0283		
2380	0,0083		
2390	0,0067		
2400	-0,0083		
2410	0,0000		
2420	-0,0017		
2430	0,0044		
2440	-0,0050		
2450	0,0017		
2460	0,0017		
2470	0,0017		
2480	0,0067		
2490	0,0117		
2500	0,0167		
2510	0,0216		
2520	0,0266		
2530	0,0366		
2540	0,0366		
2550	0,0549		
2560	0,0849		
2570	0,0849		
2580	0,1099		
2590	0,0833		
2600	0,0849		
2610	0,0849		
2620	0,0882		
2630	0,1032		
2640	0,0949		
2650	0,1311		
2660	0,1465		
2670	0,1615		
2680	0,1682		
2690	0,1349		
2700	0,1449		
2710	0,2065		
2720	0,1898		
2730	0,2287		
2740	0,1715		
2750	0,1765		
2760	0,2015		
2770	0,2148		
2780	0,2200		
2790	0,2248		
2800	0,2165		
2810	0,2464		
2820	0,2314		
2830	0,2258		
2840	0,2381		
2850	0,2348		
2860	0,2431		
2870	0,2364		
2880	0,2431		
2890	0,2375		
2900	0,2414		
2910	0,2464		
2920	0,2381		
2930	0,2404		
2940	0,2331		
2950	0,2431		
2960	0,2431		
2970	0,2348		
2980	0,2477		
2990	0,2531		
3000	0,2448		
3010	0,2514		
3020	0,2477		
3030	0,2498		
3040	0,2498		
3050	0,2498		
3060	0,2462		
3070	0,2581		
3080	0,2531		
3090	0,2647		
3100	0,2448		
3110	0,2514		
3120	0,2481		
3130	0,2298		
3140	0,2098		
3150	0,2181		
3160	0,1981		
3170	0,1898		
3180	0,2131		
3190	0,2198		
3200	0,2264		
3210	0,2264		
3220	0,2231		
3230	0,2264		
3240	0,2264		
3250	0,2298		
3260	0,2031		
3270	0,2298		
3280	0,2298		
3290	0,2281		
3300	0,2264		
3310	0,2281		
3320	0,2298		
3330	0,2314		
3340	0,2381		
3350	0,2375		
3360	0,2409		
3370	0,2462		
3380	0,2431		
3390	0,2431		
3400	0,2498		
3410	0,2431		
3420	0,2481		
3430	0,2547		
3440	0,2531		
3450	0,2514		
3460	0,2564		
3470	0,2547		
3480	0,2652		
3490	0,2681		
3500	0,2647		
3510	0,2614		
3520	0,2647		
3530	0,2695		
3540	0,2614		
3550	0,2714		
3560	0,2664		
3570	0,2697		
3580	0,2764		
3590	0,2739		
3600	0,2764		
3610	0,2764		
3620	0,2764		
3630	0,2781		
3640	0,2814		
3650	0,2781		
3660	0,2768		
3670	0,2814		
3680	0,2864		
3690	0,2831		
3700	0,2880		
3710	0,2870		
3720	0,2914		
3730	0,2964		
3740	0,2897		
3750	0,2943		
3760	0,2947		
3770	0,2814		
3780	0,2814		
3790	0,2847		
3800	0,2781		
3810	0,2864		
3820	0,2980		
3830	0,2980		
3840	0,2930		
3850	0,2997		
3860	0,2914		
3870	0,3064		
3880	0,3047		
3890	0,3164		
3900	0,3130		
3910	0,3030		
3920	0,3263		
3930	0,3263		
3940	0,3247		
3950	0,3365		
3960	0,3380		
3970	0,3413		
3980	0,3413		
3990	0,3563		
4000	0,3663		
4010	0,3530		
4020	0,3663		
4030	0,3713		
4040	0,3780		
4050	0,3813		
4060	0,3846		
4070	0,3963		
4080	0,3946		
4090	0,4029		
4100	0,4113		
4110	0,4181		
4120	0,4262		
4130	0,4362		
4140	0,4396	Reaction start	
4150	0,4562		
4160	0,4595		
4170	0,4633		
4180	0,4712		
4190	0,4729		
4200	0,4829		
4210	0,4995		
4220	0,4978		
4230	0,5012		
4240	0,5045		
4250	0,5112		
4260	0,5145		
4270	0,5211		
4280	0,5278		
4290	0,5361		
4300	0,5376		
4310	0,5395		
4320	0,5494		
4330	0,5628		
4340	0,5661		
4350	0,5755		
4360	0,5778		
4370	0,5877		
4380	0,5794		
4390	0,5988		
4400	0,6011		
4410	0,5994		
4420	0,6027		
4430	0,6111		
4440	0,6119		
4450	0,6227		
4460	31,9380		
4470	164,8134		
4480	279,1922		
4490	353,7059		
4500	398,3180		
4510	424,2936		
4520	438,2130		
4530	444,0605		
4540	444,3419		
4550	440,8920		
4560	434,9563		
4570	427,2074		
4580	418,4095		
4590	408,8124		
4600	398,6227		
4610	388,3412		
4620	377,9134		
4630	367,4838		
4640	357,1025		
4650	346,8145		
4660	336,7896		
4670	326,9294		
4680	317,3040		
4690	307,8685		
4700	298,6843		
4710	289,7216		
4720	280,9105		
4730	272,3923		
4740	264,2288		
4750	256,2385		
4760	248,4130		
4770	240,3829		
4780	232,5955		
4790	225,4793		
4800	218,5928		
4810	211,9628		
4820	205,5692		
4830	199,3371		
4840	193,3082		
4850	187,4457		
4860	181,8180		
4870	176,0400		
4880	170,4793		
4890	165,3228		
4900	160,4078		
