"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-2404.37805724144,21.99113044445134,19.999875236620166,NaN,NaN,NaN,NaN,""
-2403.678181409836,21.990889522671743,19.999884638276374,-1.1517695672774947E-06,NaN,-2.636231557055379E-07,NaN,""
-2380.87903380394,21.983041257356025,20.00019090652841,-8.056696486157936E-07,NaN,-1.8440596214598164E-07,NaN,""
-2363.53040099144,21.993048015227096,20.000310022895654,-5.423106621708264E-07,NaN,-1.2412695403314864E-07,NaN,""
-2344.10803771019,22.004250908777266,20.000211138692503,-4.126988922546201E-07,NaN,-9.446072150483408E-08,NaN,""
-2342.03430724144,22.005447044456368,20.000200580801994,-4.0095995656319704E-07,NaN,-9.177385135344403E-08,NaN,""
-2331.14368224144,22.141585289332376,20.00014513385358,-3.3931050479453656E-07,NaN,-7.766319633658423E-08,NaN,""
-2314.553181409836,22.098883422890218,20.000060667384137,-2.453952996675679E-07,NaN,-5.616738376460698E-08,NaN,""
-2308.39661192894,22.083037185915003,20.000029322719307,-8.910910575422662E-08,NaN,-2.0395766938481716E-08,NaN,""
-2302.43665099144,22.067510229936467,20.000050546400335,5.735245880518971E-08,NaN,1.3127136371066542E-08,NaN,""
-2261.389118909836,21.9535694681599,20.000196718453648,9.019188530205455E-08,NaN,2.0643599290925742E-08,NaN,""
-2251.541462659836,21.970139707405494,20.000154262748364,1.6737972862697688E-07,NaN,3.8310764162732184E-08,NaN,""
-2241.693806409836,21.990862503617947,20.0001083261358,2.4456757195189923E-07,NaN,5.597792903453863E-08,NaN,""
-2226.869587659836,22.01485500015088,20.000039175225567,6.77457426432217E-08,NaN,1.5506006556013214E-08,NaN,""
-2209.810993909836,22.020189447417863,19.999959601569444,-1.3572749282212607E-07,NaN,-3.106603177434793E-08,NaN,""
-2190.359822034836,22.022499265581807,19.999868867193292,-7.116484851261602E-08,NaN,-1.628858972593638E-08,NaN,""
